vendor,part_number,description,lens_type,focal_length_mm,diameter_mm,na,coating_type,wavelength_min_nm,wavelength_max_nm,center_wavelength_nm,price_usd,url,back_focal_length_mm,substrate_material,is_positive
Thorlabs,AC508-500-A,f=500mm Achromatic Doublet AR Coated 400-700nm dia=50.8mm,achromat_doublet,500.0,50.8,0.05,AR_BBAR,400,700,,55.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-500-A,497.5,N-BK7/N-SF2,true
Thorlabs,AC508-750-A,f=750mm Achromatic Doublet AR Coated 400-700nm dia=50.8mm,achromat_doublet,750.0,50.8,0.033,AR_BBAR,400,700,,60.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-750-A,748.0,N-BK7/N-SF2,true
Thorlabs,AC508-1000-A,f=1000mm Achromatic Doublet AR Coated 400-700nm dia=50.8mm,achromat_doublet,1000.0,50.8,0.025,AR_BBAR,400,700,,60.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-1000-A,998.3,N-BK7/N-SF2,true
Thorlabs,AC254-030-B,f=30mm Achromatic Doublet AR Coated 650-1050nm,achromat_doublet,30.0,25.4,0.39,AR_BBAR,650,1050,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-030-B,23.5,N-BK7/N-SF2,true
Thorlabs,AC254-050-B,f=50mm Achromatic Doublet AR Coated 650-1050nm,achromat_doublet,50.0,25.4,0.23,AR_BBAR,650,1050,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-050-B,44.6,N-BK7/N-SF2,true
Thorlabs,AC254-075-B,f=75mm Achromatic Doublet AR Coated 650-1050nm,achromat_doublet,75.0,25.4,0.16,AR_BBAR,650,1050,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-075-B,71.0,N-BK7/N-SF2,true
Thorlabs,AC254-100-B,f=100mm Achromatic Doublet AR Coated 650-1050nm,achromat_doublet,100.0,25.4,0.12,AR_BBAR,650,1050,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-100-B,96.1,N-BK7/N-SF2,true
Thorlabs,AC254-150-B,f=150mm Achromatic Doublet AR Coated 650-1050nm,achromat_doublet,150.0,25.4,0.08,AR_BBAR,650,1050,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-150-B,147.0,N-BK7/N-SF2,true
Thorlabs,AC254-200-B,f=200mm Achromatic Doublet AR Coated 650-1050nm,achromat_doublet,200.0,25.4,0.06,AR_BBAR,650,1050,,25.90,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-200-B,197.3,N-BK7/N-SF2,true
Thorlabs,AC254-300-B,f=300mm Achromatic Doublet AR Coated 650-1050nm,achromat_doublet,300.0,25.4,0.04,AR_BBAR,650,1050,,29.40,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-300-B,297.7,N-BK7/N-SF2,true
Thorlabs,AC254-500-B,f=500mm Achromatic Doublet AR Coated 650-1050nm,achromat_doublet,500.0,25.4,0.025,AR_BBAR,650,1050,,29.40,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-500-B,498.2,N-BK7/N-SF2,true
Thorlabs,AC508-100-B,f=100mm Achromatic Doublet AR Coated 650-1050nm dia=50.8mm,achromat_doublet,100.0,50.8,0.24,AR_BBAR,650,1050,,51.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-100-B,91.2,N-BK7/N-SF2,true
Thorlabs,AC508-200-B,f=200mm Achromatic Doublet AR Coated 650-1050nm dia=50.8mm,achromat_doublet,200.0,50.8,0.12,AR_BBAR,650,1050,,51.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-200-B,194.8,N-BK7/N-SF2,true
Thorlabs,AC508-300-B,f=300mm Achromatic Doublet AR Coated 650-1050nm dia=50.8mm,achromat_doublet,300.0,50.8,0.08,AR_BBAR,650,1050,,55.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-300-B,296.2,N-BK7/N-SF2,true
Thorlabs,AC508-500-B,f=500mm Achromatic Doublet AR Coated 650-1050nm dia=50.8mm,achromat_doublet,500.0,50.8,0.05,AR_BBAR,650,1050,,55.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-500-B,497.5,N-BK7/N-SF2,true
Thorlabs,AC508-750-B,f=750mm Achromatic Doublet AR Coated 650-1050nm dia=50.8mm,achromat_doublet,750.0,50.8,0.033,AR_BBAR,650,1050,,60.00,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC508-750-B,748.0,N-BK7/N-SF2,true
Thorlabs,AC254-030-C,f=30mm Achromatic Doublet AR Coated 1050-1700nm,achromat_doublet,30.0,25.4,0.39,AR_BBAR,1050,1700,,28.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-030-C,23.5,N-BK7/N-SF2,true
Thorlabs,AC254-050-C,f=50mm Achromatic Doublet AR Coated 1050-1700nm,achromat_doublet,50.0,25.4,0.23,AR_BBAR,1050,1700,,28.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-050-C,44.6,N-BK7/N-SF2,true
Thorlabs,AC254-100-C,f=100mm Achromatic Doublet AR Coated 1050-1700nm,achromat_doublet,100.0,25.4,0.12,AR_BBAR,1050,1700,,28.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-100-C,96.1,N-BK7/N-SF2,true
Thorlabs,AC254-200-C,f=200mm Achromatic Doublet AR Coated 1050-1700nm,achromat_doublet,200.0,25.4,0.06,AR_BBAR,1050,1700,,28.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-200-C,197.3,N-BK7/N-SF2,true
Thorlabs,LA1050-A,f=100mm N-BK7 Plano-Convex AR 350-700nm,plano-convex,100.0,25.4,0.12,AR_BBAR,350,700,,97.4,N-BK7,true
Thorlabs,LA1131-A,f=50mm N-BK7 Plano-Convex AR 350-700nm,plano-convex,50.0,25.4,0.23,AR_BBAR,350,700,,17.60,https://www.thorlabs.com/thorproduct.cfm?partnumber=LA1131-A,47.0,N-BK7,true
Thorlabs,LA1134-A,f=60mm N-BK7 Plano-Convex AR 350-700nm,plano-convex,60.0,25.4,0.20,AR_BBAR,350,700,,17.60,https://www.thorlabs.com/thorproduct.cfm?partnumber=LA1134-A,57.2,N-BK7,true
Thorlabs,LA1256-A,f=300mm N-BK7 Plano-Convex AR 350-700nm,plano-convex,300.0,25.4,0.04,AR_BBAR,350,700,,17.60,https://www.thorlabs.com/thorproduct.cfm?partnumber=LA1256-A,298.6,N-BK7,true
Thorlabs,LA1484-A,f=300mm N-BK7 Plano-Convex AR 350-700nm dia=50.8mm,plano-convex,300.0,50.8,0.08,AR_BBAR,350,700,,27.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=LA1484-A,297.2,N-BK7,true
Thorlabs,LA1509-A,f=100mm N-BK7 Plano-Convex AR 350-700nm dia=50.8mm,plano-convex,100.0,50.8,0.24,AR_BBAR,350,700,,27.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=LA1509-A,94.6,N-BK7,true
Thorlabs,LA1145-B,f=75mm N-BK7 Plano-Convex AR 650-1050nm,plano-convex,75.0,25.4,0.16,AR_BBAR,650,1050,,17.60,https://www.thorlabs.com/thorproduct.cfm?partnumber=LA1145-B,72.5,N-BK7,true
Thorlabs,LA1050-B,f=100mm N-BK7 Plano-Convex AR 650-1050nm,plano-convex,100.0,25.4,0.12,AR_BBAR,650,1050,,17.60,https://www.thorlabs.com/thorproduct.cfm?partnumber=LA1050-B,97.4,N-BK7,true
Thorlabs,LA1256-B,f=300mm N-BK7 Plano-Convex AR 650-1050nm,plano-convex,300.0,25.4,0.04,AR_BBAR,650,1050,,17.60,https://www.thorlabs.com/thorproduct.cfm?partnumber=LA1256-B,298.6,N-BK7,true
Thorlabs,C240TMD-A,f=8.0mm Aspheric Lens AR 350-700nm,aspheric,8.0,6.28,0.50,AR_BBAR,350,700,,72.75,https://www.thorlabs.com/thorproduct.cfm?partnumber=C240TMD-A,5.92,D-ZK3,true
Thorlabs,C240TMD-B,f=8.0mm Aspheric Lens AR 600-1050nm,aspheric,8.0,6.28,0.50,AR_BBAR,600,1050,,72.75,https://www.thorlabs.com/thorproduct.cfm?partnumber=C240TMD-B,5.92,D-ZK3,true
Thorlabs,C280TMD-A,f=18.4mm Aspheric Lens AR 350-700nm,aspheric,18.4,5.0,0.15,AR_BBAR,350,700,,72.75,https://www.thorlabs.com/thorproduct.cfm?partnumber=C280TMD-A,15.6,D-ZK3,true
Thorlabs,C280TMD-B,f=18.4mm Aspheric Lens AR 600-1050nm,aspheric,18.4,5.0,0.15,AR_BBAR,600,1050,,72.75,https://www.thorlabs.com/thorproduct.cfm?partnumber=C280TMD-B,15.6,D-ZK3,true
Thorlabs,AL2520-A,f=20mm CNC Asphere AR 350-700nm,aspheric,20.0,25.0,0.54,AR_BBAR,350,700,,93.78,https://www.thorlabs.com/thorproduct.cfm?partnumber=AL2520-A,16.1,S-LAH64,true
Thorlabs,AL2520-B,f=20mm CNC Asphere AR 650-1050nm,aspheric,20.0,25.0,0.54,AR_BBAR,650,1050,,93.78,https://www.thorlabs.com/thorproduct.cfm?partnumber=AL2520-B,16.1,S-LAH64,true
Thorlabs,AL2550-A,f=50mm CNC Asphere AR 350-700nm,aspheric,50.0,25.0,0.23,AR_BBAR,350,700,,93.78,https://www.thorlabs.com/thorproduct.cfm?partnumber=AL2550-A,46.8,S-LAH64,true
Thorlabs,AL2550-B,f=50mm CNC Asphere AR 650-1050nm,aspheric,50.0,25.0,0.23,AR_BBAR,650,1050,,93.78,https://www.thorlabs.com/thorproduct.cfm?partnumber=AL2550-B,46.8,S-LAH64,true
Thorlabs,AL5040-A,f=40mm CNC Asphere AR 350-700nm dia=50mm,aspheric,40.0,50.0,0.55,AR_BBAR,350,700,,159.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AL5040-A,32.5,S-LAH64,true
Thorlabs,AL5040-B,f=40mm CNC Asphere AR 650-1050nm dia=50mm,aspheric,40.0,50.0,0.55,AR_BBAR,650,1050,,159.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AL5040-B,32.5,S-LAH64,true
Thorlabs,AC254-050-A-ML,f=50mm Achromatic Doublet V-Coat 532nm,achromat_doublet,50.0,25.4,0.23,AR_V,520,545,532,35.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-050-A-ML,44.6,N-BK7/N-SF2,true
Thorlabs,AC254-100-A-ML,f=100mm Achromatic Doublet V-Coat 532nm,achromat_doublet,100.0,25.4,0.12,AR_V,520,545,532,35.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-100-A-ML,96.1,N-BK7/N-SF2,true
Thorlabs,AC254-200-A-ML,f=200mm Achromatic Doublet V-Coat 532nm,achromat_doublet,200.0,25.4,0.06,AR_V,520,545,532,35.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-200-A-ML,197.3,N-BK7/N-SF2,true
Thorlabs,AC254-500-A-ML,f=500mm Achromatic Doublet V-Coat 532nm,achromat_doublet,500.0,25.4,0.025,AR_V,520,545,532,38.50,https://www.thorlabs.com/thorproduct.cfm?partnumber=AC254-500-A-ML,498.2,N-BK7/N-SF2,true
